Name,Code,Category
totalLen,"privatestaticbyte[]toByteArrayInternal(InputStreamin,Queue<byte[]>bufs,inttotalLen)throwsIOException{intinitialBufferSize=min(BUFFER_SIZE,max(128,Integer.highestOneBit(totalLen)*2));for(intbufSize=initialBufferSize;totalLen<MAX_ARRAY_LEN;bufSize=IntMath.saturatedMultiply(bufSize,bufSize<4096?4:2)){byte[]buf=newbyte[min(bufSize,MAX_ARRAY_LEN-totalLen)];bufs.add(buf);intoff=0;while(off<buf.length){//alwaysOKtofillbuf;itssizeplustherestofbufsisnevermorethanMAX_ARRAY_LENintr=in.read(buf,off,buf.length-off);if(r==-1){returncombineBuffers(bufs,totalLen);}off+=r;totalLen+=r;}}if(in.read()==-1){returncombineBuffers(bufs,MAX_ARRAY_LEN);}else{thrownewOutOfMemoryError(""inputistoolargetofitinabytearray"");}}",loop_control
off,"privatestaticbyte[]toByteArrayInternal(InputStreamin,Queue<byte[]>bufs,inttotalLen)throwsIOException{intinitialBufferSize=min(BUFFER_SIZE,max(128,Integer.highestOneBit(totalLen)*2));for(intbufSize=initialBufferSize;totalLen<MAX_ARRAY_LEN;bufSize=IntMath.saturatedMultiply(bufSize,bufSize<4096?4:2)){byte[]buf=newbyte[min(bufSize,MAX_ARRAY_LEN-totalLen)];bufs.add(buf);intoff=0;while(off<buf.length){//alwaysOKtofillbuf;itssizeplustherestofbufsisnevermorethanMAX_ARRAY_LENintr=in.read(buf,off,buf.length-off);if(r==-1){returncombineBuffers(bufs,totalLen);}off+=r;totalLen+=r;}}if(in.read()==-1){returncombineBuffers(bufs,MAX_ARRAY_LEN);}else{thrownewOutOfMemoryError(""inputistoolargetofitinabytearray"");}}",loop_control
i,"LLNodeinsertAtPos(intkey,intpos,LLNodehead){LLNodettmp=newLLNode(key);if(pos==1){ttmp.next=head;head=ttmp;}else{LLNodettmp1=head;for(inti=1;ttmp1!=null&&i<pos;i++)ttmp1=ttmp1.next;ttmp.next=ttmp1.next;ttmp1.next=ttmp;}returnhead;}",loop_control
counter,"publicvoidtest_ConstructorLjava_util_Collection(){ArrayListal=newArrayList(Arrays.asList(objArray));assertTrue(""arrayListcreatedfromcollectionhasincorrectsize"",al.size()==objArray.length);for(intcounter=0;counter<objArray.length;counter++)assertTrue(""arrayListcreatedfromcollectionhasincorrectelements"",al.get(counter)==objArray[counter]);try{newArrayList(null);fail(""NullPointerExceptionexpected"");}catch(NullPointerExceptione){}}",loop_control
i,"protectedbooleanrestoreSketches()throwsException{intcount=PreferencesData.getInteger(""last.sketch.count"");intopened=0;for(inti=count-1;i>=0;i--){Stringpath=PreferencesData.get(""last.sketch""+i+"".path"");if(path==null){continue;}if(BaseNoGui.getPortableFolder()!=null&&!newFile(path).isAbsolute()){Fileabsolute=newFile(BaseNoGui.getPortableFolder(),path);try{path=absolute.getCanonicalPath();}catch(IOExceptione){}}int[]location=retrieveSketchLocation(""""+i);if(handleOpen(newFile(path),location,nextEditorLocation(),false,false)!=null){opened++;}}return(opened>0);}",loop_control
i,"publicstaticvoidmain(String[]args){ArrayList<Room>hotelRooms=newArrayList<>();for(inti=0;i<15;i++){hotelRooms.add(newHostelRoom(newStandardRoom(i+1,2,RoomType.ECONOMY)));}for(inti=0;i<15;i++){hotelRooms.add(newExpandableRoom(newStandardRoom(i+16,3,RoomType.LUX)));}Hotelhotel=newHotel(hotelRooms);RoomManagerroomManager=newRoomManager();StaffManagerstaffManager=newStaffManager();Humanclient1=newHuman(""John"",""Lennon"");Humanclient2=newHuman(""Paul"",""McCartney"");Humanclient3=newHuman(""Ringo"",""Starr"");Humanslave1=newHuman(""George"",""Harrison"");Humanslave2=newHuman(""Doctor"",""Scranton"");staffManager.hireStaff(hotel,newPlumberCreator().createStaff(slave1,StaffType.IRREGULAR));staffManager.hireStaff(hotel,newSecurityGuardCreator().createStaff(slave2,StaffType.IRREGULAR));for(inti=0;i<hotel.getStaff().size();i++){System.out.println(hotel.getStaff().get(i).getPersonalInformation().getName());}staffManager.makeOrder(Plumber.class,hotel,2,""Help,ourpumpwasbroken:("");}",loop_control
i,"publicvoidbookRoom(RoomAccessaccess,Humanclient,RoomTypetype,intpeopleCount){RoomcurrentRoom;for(inti=0;i<access.getRooms().size();i++){currentRoom=access.getRooms().get(i);if(currentRoom.isOccupied()){continue;}if(currentRoom.getSize()<peopleCount){continue;}if(currentRoom.getType()!=type){continue;}currentRoom.checkIn(client,peopleCount);break;}}",loop_control
e,publicvoidreplay(ReplaySubscription<T>rs){if(rs.getAndIncrement()!=0){return;}intmissed=1;finalSubscriber<?superT>a=rs.downstream;Node<T>index=(Node<T>)rs.index;if(index==null){index=head;}longe=rs.emitted;for(;;){longr=rs.requested.get();while(e!=r){if(rs.cancelled){rs.index=null;return;}booleand=done;Node<T>next=index.get();booleanempty=next==null;if(d&&empty){rs.index=null;rs.cancelled=true;Throwableex=error;if(ex==null){a.onComplete();}else{a.onError(ex);}return;}if(empty){break;}a.onNext(next.value);e++;index=next;}if(e==r){if(rs.cancelled){rs.index=null;return;}booleand=done;if(d&&index.get()==null){rs.index=null;rs.cancelled=true;Throwableex=error;if(ex==null){a.onComplete();}else{a.onError(ex);}return;}}rs.index=index;rs.emitted=e;missed=rs.addAndGet(-missed);if(missed==0){break;}}},loop_control
index,publicvoidreplay(ReplaySubscription<T>rs){if(rs.getAndIncrement()!=0){return;}intmissed=1;finalSubscriber<?superT>a=rs.downstream;Node<T>index=(Node<T>)rs.index;if(index==null){index=head;}longe=rs.emitted;for(;;){longr=rs.requested.get();while(e!=r){if(rs.cancelled){rs.index=null;return;}booleand=done;Node<T>next=index.get();booleanempty=next==null;if(d&&empty){rs.index=null;rs.cancelled=true;Throwableex=error;if(ex==null){a.onComplete();}else{a.onError(ex);}return;}if(empty){break;}a.onNext(next.value);e++;index=next;}if(e==r){if(rs.cancelled){rs.index=null;return;}booleand=done;if(d&&index.get()==null){rs.index=null;rs.cancelled=true;Throwableex=error;if(ex==null){a.onComplete();}else{a.onError(ex);}return;}}rs.index=index;rs.emitted=e;missed=rs.addAndGet(-missed);if(missed==0){break;}}},loop_control
e,"voiddrainRegular(Subscriber<?superT>a){intmissed=1;finalSpscLinkedArrayQueue<T>q=queue;finalbooleanfailFast=!delayError;for(;;){longr=requested.get();longe=0L;while(r!=e){booleand=done;Tt=q.poll();booleanempty=t==null;if(checkTerminated(failFast,d,empty,a,q)){return;}if(empty){break;}a.onNext(t);e++;}if(r==e&&checkTerminated(failFast,done,q.isEmpty(),a,q)){return;}if(e!=0&&r!=Long.MAX_VALUE){requested.addAndGet(-e);}missed=wip.addAndGet(-missed);if(missed==0){break;}}}",loop_control
e,publicvoidreplay(ReplaySubscription<T>rs){if(rs.getAndIncrement()!=0){return;}intmissed=1;finalSubscriber<?superT>a=rs.downstream;Node<T>index=(Node<T>)rs.index;if(index==null){index=head;}longe=rs.emitted;for(;;){longr=rs.requested.get();while(e!=r){if(rs.cancelled){rs.index=null;return;}booleand=done;Node<T>next=index.get();booleanempty=next==null;if(d&&empty){rs.index=null;rs.cancelled=true;Throwableex=error;if(ex==null){a.onComplete();}else{a.onError(ex);}return;}if(empty){break;}a.onNext(next.value);e++;index=next;}if(e==r){if(rs.cancelled){rs.index=null;return;}booleand=done;if(d&&index.get()==null){rs.index=null;rs.cancelled=true;Throwableex=error;if(ex==null){a.onComplete();}else{a.onError(ex);}return;}}rs.index=index;rs.emitted=e;missed=rs.addAndGet(-missed);if(missed==0){break;}}},loop_control
index,publicvoidreplay(ReplayDisposable<T>rs){if(rs.getAndIncrement()!=0){return;}intmissed=1;finalList<Object>b=buffer;finalObserver<?superT>a=rs.downstream;IntegerindexObject=(Integer)rs.index;intindex;if(indexObject!=null){index=indexObject;}else{index=0;rs.index=0;}for(;;){if(rs.cancelled){rs.index=null;return;}ints=size;while(s!=index){if(rs.cancelled){rs.index=null;return;}Objecto=b.get(index);if(done){if(index+1==s){s=size;if(index+1==s){if(NotificationLite.isComplete(o)){a.onComplete();}else{a.onError(NotificationLite.getError(o));}rs.index=null;rs.cancelled=true;return;}}}a.onNext((T)o);index++;}if(index!=size){continue;}rs.index=index;missed=rs.addAndGet(-missed);if(missed==0){break;}}},loop_control
i,"publicT[]getValues(T[]array){Node<Object>h=head;ints=size();if(s==0){if(array.length!=0){array[0]=null;}}else{if(array.length<s){array=(T[])Array.newInstance(array.getClass().getComponentType(),s);}inti=0;while(i!=s){Node<Object>next=h.get();array[i]=(T)next.value;i++;h=next;}if(array.length>s){array[s]=null;}}returnarray;}",loop_control
s,publicintsize(){ints=0;Node<Object>h=head;while(s!=Integer.MAX_VALUE){Node<Object>next=h.get();if(next==null){Objecto=h.value;if(NotificationLite.isComplete(o)||NotificationLite.isError(o)){s--;}break;}s++;h=next;}returns;},loop_control
pos,"protectedvoidadd(char[]cbuf,intoff,intlen)throwsIOException{intpos=off;if(sawReturn&&len>0){if(finishLine(cbuf[pos]=='')){pos++;}}intstart=pos;for(intend=off+len;pos<end;pos++){switch(cbuf[pos]){case'':line.append(cbuf,start,pos-start);sawReturn=true;if(pos+1<end){if(finishLine(cbuf[pos+1]=='')){pos++;}}start=pos+1;break;case'':line.append(cbuf,start,pos-start);finishLine(true);start=pos+1;break;default:}}line.append(cbuf,start,off+len-start);}",loop_control
end,"protectedvoidadd(char[]cbuf,intoff,intlen)throwsIOException{intpos=off;if(sawReturn&&len>0){if(finishLine(cbuf[pos]=='')){pos++;}}intstart=pos;for(intend=off+len;pos<end;pos++){switch(cbuf[pos]){case'':line.append(cbuf,start,pos-start);sawReturn=true;if(pos+1<end){if(finishLine(cbuf[pos+1]=='')){pos++;}}start=pos+1;break;case'':line.append(cbuf,start,pos-start);finishLine(true);start=pos+1;break;default:}}line.append(cbuf,start,off+len-start);}",loop_control
i,"privatevoidfilterVisibilityOfSubsequentBoardMenus(List<JMenu>boardsCustomMenus,TargetBoardboard,intfromIndex){for(inti=fromIndex;i<boardsCustomMenus.size();i++){JMenumenu=boardsCustomMenus.get(i);for(intm=0;m<menu.getItemCount();m++){JMenuItemmenuItem=menu.getItem(m);for(TargetBoardt_board:(List<TargetBoard>)menuItem.getAction().getValue(""board"")){menuItem.setVisible(t_board.equals(board));}}menu.setVisible(ifThereAreVisibleItemsOn(menu));if(menu.isVisible()){JMenuItemvisibleSelectedOrFirstMenuItem=selectVisibleSelectedOrFirstMenuItem(menu);if(!visibleSelectedOrFirstMenuItem.isSelected()){visibleSelectedOrFirstMenuItem.setSelected(true);visibleSelectedOrFirstMenuItem.getAction().actionPerformed(null);}}}}",loop_control
m,"privatevoidfilterVisibilityOfSubsequentBoardMenus(List<JMenu>boardsCustomMenus,TargetBoardboard,intfromIndex){for(inti=fromIndex;i<boardsCustomMenus.size();i++){JMenumenu=boardsCustomMenus.get(i);for(intm=0;m<menu.getItemCount();m++){JMenuItemmenuItem=menu.getItem(m);for(TargetBoardt_board:(List<TargetBoard>)menuItem.getAction().getValue(""board"")){menuItem.setVisible(t_board.equals(board));}}menu.setVisible(ifThereAreVisibleItemsOn(menu));if(menu.isVisible()){JMenuItemvisibleSelectedOrFirstMenuItem=selectVisibleSelectedOrFirstMenuItem(menu);if(!visibleSelectedOrFirstMenuItem.isSelected()){visibleSelectedOrFirstMenuItem.setSelected(true);visibleSelectedOrFirstMenuItem.getAction().actionPerformed(null);}}}}",loop_control
suffix,"publicbooleanmatchesBoard(TargetBoardboard){PreferencesMapidentificationProps=getIdentificationPrefs();PreferencesMapboardProps=board.getPreferences();StringwildMatcher=identificationProps.get(""."");if(wildMatcher!=null){if(wildMatcher.equals(board.getId())){returntrue;}if(wildMatcher.equals(board.getFQBN())){returntrue;}}for(intsuffix=0;;suffix++){booleanfound=true;for(Stringprop:identificationProps.keySet()){Stringvalue=identificationProps.get(prop);prop+="".""+suffix;if(!boardProps.containsKey(prop)){returnfalse;}if(!value.equalsIgnoreCase(boardProps.get(prop))){found=false;break;}}if(found){returntrue;}}}",loop_control
i,"publicsynchronizedvoidforceRefresh(){Platformplatform=BaseNoGui.getPlatform();if(platform==null){return;}List<String>ports=platform.listSerials();if(ports.equals(oldPorts)){return;}oldPorts.clear();oldPorts.addAll(ports);for(BoardPortboard:boardPorts){if(!ports.contains(board.toCompleteString())){board.setOnlineStatus(false);}}for(StringnewPort:ports){BoardPortoldBoardPort=boardPorts.stream()//.filter(bp->bp.toCompleteString().equalsIgnoreCase(newPort))//.findAny().orElse(null);if(oldBoardPort!=null){oldBoardPort.setOnlineStatus(true);continue;}String[]parts=newPort.split(""_"");if(parts.length<3){continue;}if(parts.length>3){for(inti=1;i<(parts.length-2);i++){parts[0]+=""_""+parts[i];}parts[1]=parts[parts.length-2];parts[2]=parts[parts.length-1];}}setSerialBoardPorts(boardPorts);}",loop_control
i,"privatevoidtestEqualsUsing(finalInvokable<?,?>factory)throwsParameterNotInstantiableException,ParameterHasNoDistinctValueException,IllegalAccessException,InvocationTargetException,FactoryMethodReturnsNullException{List<Parameter>params=factory.getParameters();List<FreshValueGenerator>argGenerators=Lists.newArrayListWithCapacity(params.size());List<Object>args=Lists.newArrayListWithCapacity(params.size());for(Parameterparam:params){FreshValueGeneratorgenerator=newFreshValueGenerator();argGenerators.add(generator);args.add(generateDummyArg(param,generator));}Objectinstance=createInstance(factory,args);List<Object>equalArgs=generateEqualFactoryArguments(factory,params,args);//EachgroupisaListofitems,eachitemhasalistoffactoryargs.finalList<List<List<Object>>>argGroups=Lists.newArrayList();argGroups.add(ImmutableList.of(args,equalArgs));EqualsTestertester=newEqualsTester(newItemReporter(){@OverrideStringreportItem(Item<?>item){List<Object>factoryArgs=argGroups.get(item.groupNumber).get(item.itemNumber);returnfactory.getName()+""(""+Joiner.on("","").useForNull(""null"").join(factoryArgs)+"")"";}});tester.addEqualityGroup(instance,createInstance(factory,equalArgs));for(inti=0;i<params.size();i++){List<Object>newArgs=Lists.newArrayList(args);ObjectnewArg=argGenerators.get(i).generateFresh(params.get(i).getType());if(newArg==null||Objects.equal(args.get(i),newArg)){if(params.get(i).getType().getRawType().isEnum()){continue;//Nothingbetterwecandoifit'ssingle-valueenum}thrownewParameterHasNoDistinctValueException(params.get(i));}newArgs.set(i,newArg);tester.addEqualityGroup(createInstance(factory,newArgs));argGroups.add(ImmutableList.of(newArgs));}tester.testEquals();}",loop_control
kids,"publicstaticUIComponentfindComponent(UIComponentparent,Stringid){if(id.equals(parent.getId())){returnparent;}Iterator<UIComponent>kids=parent.getFacetsAndChildren();while(kids.hasNext()){UIComponentkid=kids.next();UIComponentfound=findComponent(kid,id);if(found!=null){returnfound;}}returnnull;}",iterator
keyIterator,"publicObject[][]convert(Map<String,Object>mapIn){Object[][]out=newObject[mapIn.size()][2];Iterator<String>keyIterator=mapIn.keySet().iterator();Iterator<Object>valueIterator=mapIn.values().iterator();introw=0;while(keyIterator.hasNext()){//Stringkey=keyIterator.next();Objectvalue=valueIterator.next();out[row][0]=key;out[row][1]=value;row++;}returnout;}",iterator
valueIterator,"publicObject[][]convert(Map<String,Object>mapIn){Object[][]out=newObject[mapIn.size()][2];Iterator<String>keyIterator=mapIn.keySet().iterator();Iterator<Object>valueIterator=mapIn.values().iterator();introw=0;while(keyIterator.hasNext()){//Stringkey=keyIterator.next();Objectvalue=valueIterator.next();out[row][0]=key;out[row][1]=value;row++;}returnout;}",iterator
repositoryIterator,"publicLocalRepositorygetLocalRepositoryOrFail(){Iterator<LocalRepository>repositoryIterator=pm().getExtent(LocalRepository.class).iterator();if(!repositoryIterator.hasNext()){thrownewIllegalStateException(""LocalRepositoryentitynotfoundindatabase."");}LocalRepositorylocalRepository=repositoryIterator.next();if(repositoryIterator.hasNext()){thrownewIllegalStateException(""MultipleLocalRepositoryentitiesindatabase."");}returnlocalRepository;}",iterator
iter,"publicStringtoString(){StringBuildersb=newStringBuilder();sb.append(name).append('(');Iterator<Object>iter=args.iterator();if(iter.hasNext()){sb.append(JsonUtil.toJsonScriptCode(iter.next()));}for(;iter.hasNext();){sb.append(',');sb.append(JsonUtil.toJsonScriptCode(iter.next()));}returnsb.toString();}",iterator
it,publicstaticvoidmain(String[]args){ArrayList<Integer>numbers=newArrayList<Integer>();numbers.add(12);numbers.add(8);numbers.add(2);numbers.add(23);Iterator<Integer>it=numbers.iterator();while(it.hasNext()){Integeri=it.next();if(i<10){it.remove();}}System.out.println(numbers);},iterator
i,publicstaticvoidmain(String[]args){ArrayList<Integer>numbers=newArrayList<Integer>();numbers.add(12);numbers.add(8);numbers.add(2);numbers.add(23);Iterator<Integer>it=numbers.iterator();while(it.hasNext()){Integeri=it.next();if(i<10){it.remove();}}System.out.println(numbers);},iterator
it,"publicvoiditShouldIterateSequenceUrls()throwsException{Iterator<Sequence>it=newSequenceIterator(Granularity.hour,999,1001);assertEquals(""http://planet.openstreetmap.org/replication/hour/000/001/000.osc.gz"",it.next().getUrl());assertEquals(""http://planet.openstreetmap.org/replication/hour/000/001/001.osc.gz"",it.next().getUrl());assertFalse(it.hasNext());}",iterator
it,publicErrorAggregateValueaggregate(Iterable<ErrorAggregateValue>aggValues){ErrorAggregateValueerrorSum=newErrorAggregateValue();Iterator<ErrorAggregateValue>it=aggValues.iterator();doubleerrorValue=0.0;while(it.hasNext()){errorValue+=Double.parseDouble(it.next().getValue());}errorSum.setValue(Double.toString(errorValue));returnerrorSum;},iterator
iterator,"publicstaticStringgetAccessToken(TreeMap<String,String>map,Stringapp_secret){StringtoMd5="""";Set<String>keys=map.keySet();Iterator<String>iterator=keys.iterator();while(iterator.hasNext()){Stringkey=iterator.next();toMd5+=key+""=""+map.get(key)+""&"";}toMd5=toMd5.substring(0,toMd5.length()-1);toMd5+=app_secret;returnMD5.digest(toMd5);}",iterator
i,publicObjectvisit(RelationNodenode){doublenum=0;Objectdata=node.getData();if(datainstanceofNumber){num+=((Number)data).doubleValue();}for(Iteratori=node.getChildren().iterator();i.hasNext();){Objecttmp=((RelationNode)i.next()).accept(this);if(tmpinstanceofNumber){num+=((Number)tmp).doubleValue();}}returnnewDouble(num);},iterator
iterator,"publicStringgetMessage(){StringBuilderbuilder=newStringBuilder(""["");for(Iterator<ConstraintViolation<Object>>iterator=violations.iterator();iterator.hasNext();){builder.append(iterator.next().getMessage());if(iterator.hasNext()){builder.append("","");}}builder.append(""]"");returnbuilder.toString();}",iterator
lib,"publicvoidreload(){try{parseKeywordsTxt(newFile(BaseNoGui.getContentFile(""lib""),""keywords.txt""));TargetPlatformtp=BaseNoGui.getTargetPlatform();if(tp!=null){FileplatformKeywords=newFile(tp.getFolder(),""keywords.txt"");if(platformKeywords.exists())parseKeywordsTxt(platformKeywords);}for(UserLibrarylib:BaseNoGui.librariesIndexer.getInstalledLibraries()){Filekeywords=newFile(lib.getInstalledFolder(),""keywords.txt"");bif(keywords.exists()){parseKeywordsTxt(keywords);}}}catch(Exceptione){Base.showError(""Problemloadingkeywords"",""Couldnotloadkeywords.txt,pleasere-installArduino."",e);System.exit(1);}}",iterator
editor,"protectedvoidstoreSketches(){if(editors.size()==1){storeSketchLocation(editors.get(0),"".default"");}StringuntitledPath=untitledFolder.getAbsolutePath();List<Editor>reversedEditors=newLinkedList<>(editors);Collections.reverse(reversedEditors);intindex=0;for(Editoreditor:reversedEditors){Sketchsketch=editor.getSketch();Stringpath=sketch.getMainFilePath();if(path.startsWith(untitledPath)&&!sketch.isModified()){continue;}storeSketchLocation(editor,""""+index);index++;}PreferencesData.setInteger(""last.sketch.count"",index);}",iterator
path,"protectedvoidrebuildRecentSketchesMenuItems(){Set<File>recentSketches=newLinkedHashSet<File>(){@Overridepublicbooleanadd(Filefile){if(size()>=RECENT_SKETCHES_MAX_SIZE){returnfalse;}returnsuper.add(file);}};for(Stringpath:PreferencesData.getCollection(""recent.sketches"")){Filefile=newFile(path);if(file.exists()){recentSketches.add(file);}}recentSketchesMenuItems.clear();for(finalFilerecentSketch:recentSketches){JMenuItemrecentSketchMenuItem=newJMenuItem(recentSketch.getParentFile().getName());recentSketchMenuItem.addActionListener(newActionListener(){@OverridepublicvoidactionPerformed(ActionEventactionEvent){try{handleOpen(recentSketch);}catch(Exceptione){e.printStackTrace();}}});recentSketchesMenuItems.add(recentSketchMenuItem);}}",iterator
recentSketch,"protectedvoidrebuildRecentSketchesMenuItems(){Set<File>recentSketches=newLinkedHashSet<File>(){@Overridepublicbooleanadd(Filefile){if(size()>=RECENT_SKETCHES_MAX_SIZE){returnfalse;}returnsuper.add(file);}};for(Stringpath:PreferencesData.getCollection(""recent.sketches"")){Filefile=newFile(path);if(file.exists()){recentSketches.add(file);}}recentSketchesMenuItems.clear();for(finalFilerecentSketch:recentSketches){JMenuItemrecentSketchMenuItem=newJMenuItem(recentSketch.getParentFile().getName());recentSketchMenuItem.addActionListener(newActionListener(){@OverridepublicvoidactionPerformed(ActionEventactionEvent){try{handleOpen(recentSketch);}catch(Exceptione){e.printStackTrace();}}});recentSketchesMenuItems.add(recentSketchMenuItem);}}",iterator
editor,protectedbooleanhandleQuitEach(){for(Editoreditor:editors){if(!editor.checkModified()){returnfalse;}}returntrue;},iterator
t_board,"privatevoidfilterVisibilityOfSubsequentBoardMenus(List<JMenu>boardsCustomMenus,TargetBoardboard,intfromIndex){for(inti=fromIndex;i<boardsCustomMenus.size();i++){JMenumenu=boardsCustomMenus.get(i);for(intm=0;m<menu.getItemCount();m++){JMenuItemmenuItem=menu.getItem(m);for(TargetBoardt_board:(List<TargetBoard>)menuItem.getAction().getValue(""board"")){menuItem.setVisible(t_board.equals(board));}}menu.setVisible(ifThereAreVisibleItemsOn(menu));if(menu.isVisible()){JMenuItemvisibleSelectedOrFirstMenuItem=selectVisibleSelectedOrFirstMenuItem(menu);if(!visibleSelectedOrFirstMenuItem.isSelected()){visibleSelectedOrFirstMenuItem.setSelected(true);visibleSelectedOrFirstMenuItem.getAction().actionPerformed(null);}}}}",iterator
networkService,"privateListenableFuture<ReconnaissanceReport>fingerprintNetworkServices(PortScanningReportportScanningReport){checkNotNull(portScanningReport);TargetInfotargetInfo=portScanningReport.getTargetInfo();List<PluginMatchingResult<ServiceFingerprinter>>matchedFingerprinters=Lists.newArrayList();List<NetworkService>networkServicesToKeep=Lists.newArrayList();for(NetworkServicenetworkService:portScanningReport.getNetworkServicesList()){Optional<PluginMatchingResult<ServiceFingerprinter>>matchedFingerprinter=pluginManager.getServiceFingerprinter(networkService);if(matchedFingerprinter.isPresent()){matchedFingerprinters.add(matchedFingerprinter.get());}else{networkServicesToKeep.add(networkService);}}executionTracer.startServiceFingerprinting(ImmutableList.copyOf(matchedFingerprinters));logger.atInfo().log(""Portscanningphasedone,movingtoservicefingerprintingphasewith'%d'""+""fingerprinter(s)selected."",matchedFingerprinters.size());ImmutableList<ListenableFuture<PluginExecutionResult<FingerprintingReport>>>fingerprintingResultFutures=matchedFingerprinters.stream().map(fingerprinter->buildFingerprinterExecutorConfig(targetInfo,fingerprinter)).map(executorConfig->pluginExecutorProvider.get().executeAsync(executorConfig)).collect(toImmutableList());returnFluentFuture.from(Futures.successfulAsList(fingerprintingResultFutures)).transform(executionResults->ReconnaissanceReport.newBuilder().setTargetInfo(targetInfo).addAllNetworkServices(networkServicesToKeep).addAllNetworkServices(getFingerprintedServices(executionResults)).build(),directExecutor());}",iterator
node,privateImmutableSet<N>validate(Iterable<?extendsN>startNodes){ImmutableSet<N>copy=ImmutableSet.copyOf(startNodes);for(Nnode:copy){successorFunction.successors(node);//Willthrowifnodedoesn'texist}returncopy;},iterator
edge,"publicbooleanremoveNode(Nnode){checkNotNull(node,""node"");NetworkConnections<N,E>connections=nodeConnections.get(node);if(connections==null){returnfalse;}for(Eedge:ImmutableList.copyOf(connections.incidentEdges())){removeEdge(edge);}nodeConnections.remove(node);returntrue;}",iterator
source,publiclonglength()throwsIOException{longresult=0L;for(CharSourcesource:sources){result+=source.length();}returnresult;},iterator
